"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2010/Second semester 2010/EC100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2010/EndSem/EC100_Electronics_Engineering_Time__3_hrs_EndSem_2010.pdf","EC100","Electronics Engineering Time : 3 hrs","Electronics & Communication","B.Tech","Sem02","2010","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/2023/19CSE202_III Sem End_Odd 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2023/EndSem/19CSE202_Database_Management_Systems_EndSem_2023.pdf","19CSE202","Database Management Systems","Computer Science & Engineering","B.Tech","Sem03","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG/M.Sc. Applied Statistics and Data Analytics/3rd Semester/2024/22MAT620_ III Sem End_Odd 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/M.Sc./Core/2024/EndSem/22MAT620_Deep_Learning_EndSem_2024.pdf","22MAT620","Deep Learning","Mechanical & Aerospace","M.Sc.","Sem03","2024","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2025/Fifth semester 2025 Mid Term/23CIE303 _V Sem Mid Term_Odd 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2025/MidTerm/23CIE303_Behaviour_&_Design_of_Reinforced_Concrete_Structures_MidTerm_2025.pdf","23CIE303","Behaviour & Design of Reinforced Concrete Structures","Electrical & Electronics","B.Tech","Sem05","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/UG/B.Sc Food Science/4th Semester/21OEL333 _IV Sem End_Even 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Media & Communication/B.Tech/Core/2024/EndSem/21OEL241_Development_Journalism_EndSem_2024.pdf","21OEL241","Development Journalism","Media & Communication","B.Tech","Sem04","2024","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third semester 2014 Regular/PHY252.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/B.Tech/Core/2014/EndSem/PHY252_Physics_of_Semiconductor_Devices_EndSem_2014.pdf","PHY252","Physics of Semiconductor Devices","Physical Sciences","B.Tech","Sem03","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MSW/4th Semester/Fourth Semester 2018 Regular/15SWK 654_IVSem_April-May2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/MSW/Core/2018/EndSem/15SWK654_Children_in_Humanitarian_Crisis_Interventions_Therein_EndSem_2018.pdf","15SWK654","Children in Humanitarian Crisis: Interventions Therein","Humanities & Social Sciences","MSW","Sem04","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2010/Second semester 2010/PHY100.PDF","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/B.Tech/Core/2010/EndSem/PHY100_Physics_EndSem_2010.pdf","PHY100","Physics","Physical Sciences","B.Tech","Sem02","2010","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/4th Semester/2022/18OEL293_IV Sem May2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/Integrated M.Sc./Core/2022/EndSem/18OEL293_Reporting_Rural_Affaires_EndSem_2022.pdf","18OEL293","Reporting Rural Affaires","General & Interdisciplinary","Integrated M.Sc.","Sem04","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/2nd Semester/2023/21AI701_II Sem July 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/M.Tech/Core/2023/EndSem/21AI701_Machine_Learning_for_Big_Data_EndSem_2023.pdf","21AI701","Machine Learning for Big Data","General & Interdisciplinary","M.Tech","Sem02","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/Fourth semester 2013 Supply/ECE211.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2013/EndSem/ECE211_Electronic_Circuits_–_I_EndSem_2013.pdf","ECE211","Electronic Circuits – I","Electronics & Communication","B.Tech","Sem04","2013","EndSem","high"
