"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2025/SS870_ Mid Term 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Chemical Sciences/PhD/Core/2025/MidTerm/SS870_Chemistry_of_Natural_Products_MidTerm_2025.pdf","SS870","Chemistry of Natural Products","Chemical Sciences","PhD","SemGeneral","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/AE806_Nov 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PhD/Core/2018/EndSem/AE806_Combustion_EndSem_2018.pdf","AE806","Combustion","Mechanical & Aerospace","PhD","SemGeneral","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2022/Fifth Semester  2022 Regular ﻿/19MEE360_V Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/DeptElective/2022/EndSem/19MEE360_Electric_Vehicle_Design_EndSem_2022.pdf","19MEE360","Electric Vehicle Design","Mechanical & Aerospace","B.Tech","Sem05","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS813_II Ass Oct 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass2/SS813_Microfluidics_Ass2_2019.pdf","SS813","Microfluidics","Biotechnology & Health","PhD","SemGeneral","2019","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG Diploma in Waste Management and Environmental Hygiene/1st Semester/22WME501_II Ass Dec 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PG Diploma/Core/2022/Ass2/22WME501_Overview_of_Waste_Management_Ass2_2022.pdf","22WME501","Overview of Waste Management","Mechanical & Aerospace","PG Diploma","Sem01","2022","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15mat201 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2019/Ass1/15MAT201_Discrete_Mathematics_Ass1_2019.pdf","15MAT201","Discrete Mathematics","Mathematics & Statistics","B.Tech","Sem03","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/MEC100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/B.Tech/Core/2013/EndSem/Dec 2013_Total_EndSem_2013.pdf","Dec 2013","Total","General & Interdisciplinary","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/2nd Semester/2023/Second Semester - Second Assessment 2023/22CSA111_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/Integrated M.Sc./Core/2023/Ass2/22CSA111_Advanced_Computer_Programming_-_C_Ass2_2023.pdf","22CSA111","Advanced Computer Programming - C","Computer Science & Engineering","Integrated M.Sc.","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2023/23MA803  _I Ass April 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/Core/2023/Ass1/23MA803_Homological_Algebra_Ass1_2023.pdf","23MA803","Homological Algebra","Mathematics & Statistics","PhD","Sem04","2023","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2022/Fourth Semester - First Assessment May 2022/19HUM244_1Asses_ May 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/B.Tech/OpenElective/2022/Ass1/19HUM244_Understanding_Science_of_Food_and_Nutrition_Ass1_2022.pdf","19HUM244","Understanding Science of Food and Nutrition","Humanities & Social Sciences","B.Tech","Sem04","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/1st Semester/First Semester - Second Assessment 2017/16MA 610 _Ass II_Sep-Oct 2017.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/M.Tech/Core/2017/Ass1/16MA610_Probability_and_Random_Processes_Ass1_2017.pdf","16MA610","Probability and Random Processes","Mathematics & Statistics","M.Tech","Sem01","2017","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MCA/4th Semester/Fourth semester 2014 Supply/CA326 .pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/MCA/Core/2014/EndSem/CA326_Advanced_Computer_Networks_EndSem_2014.pdf","CA326","Advanced Computer Networks","Computer Science & Engineering","MCA","Sem04","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/3rd Semester/Third Semester 2015 Regular/CN717.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/M.Tech/DeptElective/2015/EndSem/CN717_Instrumentation_and_Control_EndSem_2015.pdf","CN717","Instrumentation and Control","General & Interdisciplinary","M.Tech","Sem03","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2024/OL831 _Mid-Term 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2024/MidTerm/OL831_Composite_Materials_MidTerm_2024.pdf","OL831","Composite Materials","General & Interdisciplinary","PhD","SemGeneral","2024","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/UG/B. A. English Language and Literature/1st Semester/18MAL101_I Sem Jan2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2023/EndSem/18MAL101_21MAL10121MAL102,_Malayalam1_EndSem_2023.pdf","18MAL101","/21MAL101/21MAL102, Malayalam1","Mathematics & Statistics","B.Tech","Sem01","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/CJ802_II Ass March 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2018/EndSem/CJ802_CJ802_(2018_EndSem_2018.pdf","CJ802","CJ802 (2018","General & Interdisciplinary","PhD","SemGeneral","2018","EndSem","low"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2015/MA812.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/Core/2015/EndSem/MA812_Functional_Analysis_EndSem_2015.pdf","MA812","Functional Analysis","Mathematics & Statistics","PhD","SemGeneral","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS803 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass1/SS803_Instrumental_Method_of_Analysis_Ass1_2019.pdf","SS803","Instrumental Method of Analysis","Biotechnology & Health","PhD","SemGeneral","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/PHY100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/B.Tech/Core/2013/EndSem/PHY100_Physics_EndSem_2013.pdf","PHY100","Physics","Physical Sciences","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2022/Fifth Semester  2022 Regular ﻿/19MEE442_V Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/Core/2022/EndSem/19MEE442_Micro_Manufacturing_EndSem_2022.pdf","19MEE442","Micro Manufacturing","Mechanical & Aerospace","B.Tech","Sem05","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG Diploma in Waste Management and Environmental Hygiene/1st Semester/22WME502_I Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PG Diploma/Core/2023/Ass2/22WME502_Handling_and_Disposal_of_Major_types_of_Wastes_-_I_Ass2_2023.pdf","22WME502","Handling and Disposal of Major types of Wastes - I","Mechanical & Aerospace","PG Diploma","Sem01","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15MAT202 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2019/Ass1/15MAT202_Linear_Algebra_Ass1_2019.pdf","15MAT202","Linear Algebra","Mathematics & Statistics","B.Tech","Sem03","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2023/22WME504_Mid Term 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PhD/Core/2023/MidTerm/22WME504_Legal_Aspects_and_Mandatory_Regulations_MidTerm_2023.pdf","22WME504","Legal Aspects and Mandatory Regulations","Mechanical & Aerospace","PhD","Sem01","2023","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2025/SS802_End sem Nov 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Chemical Sciences/PhD/Core/2025/EndSem/SS802_Advanced_Electrochemistry_EndSem_2025.pdf","SS802","Advanced Electrochemistry","Chemical Sciences","PhD","SemGeneral","2025","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2022/Fourth Semester - First Assessment May 2022/19MAT211_1Asses_ May 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2022/Ass1/19MAT211_Numerical_Computing_Ass1_2022.pdf","19MAT211","Numerical Computing","Mathematics & Statistics","B.Tech","Sem04","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/2nd Semester/2023/Second Semester - Second Assessment 2023/22CSC111_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/Integrated M.Sc./Core/2023/Ass2/22CSC111_Advanced_Computer_Programming_Ass2_2023.pdf","22CSC111","Advanced Computer Programming","Computer Science & Engineering","Integrated M.Sc.","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MCA/4th Semester/Fourth semester 2014 Supply/CA328_.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/MCA/Core/2014/EndSem/CA328_Information_Retrieval_EndSem_2014.pdf","CA328","Information Retrieval","Computer Science & Engineering","MCA","Sem04","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/UG/B. A. English Language and Literature/1st Semester/18ELL102_III Ass Nov 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/B.Tech/Core/2019/Ass3/18ELL102_English_Poetry_The_Chaucerian_to_the_Jacobean_Ass3_2019.pdf","18ELL102","English Poetry: The Chaucerian to the Jacobean","Humanities & Social Sciences","B.Tech","Sem05","2019","Ass3","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/CSE100 Set2.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2013/EndSem/CSE100_Computer_Programming_EndSem_2013.pdf","CSE100","Computer Programming","Computer Science & Engineering","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/CS743_I Ass Jan-Feb 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/PhD/Core/2018/EndSem/CS743_Evolutionary_Computation_EndSem_2018.pdf","CS743","Evolutionary Computation","Computer Science & Engineering","PhD","SemGeneral","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/1st Semester/First Semester - Second Assessment 2017/16MA601_Ass II_Sep-Oct 2017.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/M.Tech/Core/2017/Ass2/16MA601_Numerical_Methods,_Linear_Algebra_and_Differential_Equations_Ass2_2017.pdf","16MA601","Numerical Methods, Linear Algebra and Differential Equations","Mathematics & Statistics","M.Tech","Sem01","2017","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS824_II Ass Oct 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass2/SS824_Corrosion_and_its_Control_Ass2_2019.pdf","SS824","Corrosion and its Control","Biotechnology & Health","PhD","SemGeneral","2019","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2023/22WME511 _Mid Term 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PhD/Core/2023/MidTerm/22WME511_Handling_and_Disposal_of_Major_Types_of_Wastes_-_II_MidTerm_2023.pdf","22WME511","Handling and Disposal of Major Types of Wastes - II","Mechanical & Aerospace","PhD","Sem01","2023","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2024/OL831_Mid-Term 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2024/MidTerm/OL831_Physical_Metallurgy_Principles_MidTerm_2024.pdf","OL831","Physical Metallurgy Principles","General & Interdisciplinary","PhD","SemGeneral","2024","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/3rd Semester/Third Semester 2015 Regular/CN735.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/M.Tech/DeptElective/2015/EndSem/CN735_Distributed_Computing_and_Big_Data_Hadoop_and_Map-Reduce_EndSem_2015.pdf","CN735","Distributed Computing and Big Data: Hadoop and Map-Reduce","General & Interdisciplinary","M.Tech","Sem03","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2022/Fifth Semester - First Assessment Oct 2022/19AEE301_I Ass Oct 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2022/Ass1/19AEE301_Aerodynamics_II_Ass1_2022.pdf","19AEE301","Aerodynamics II","Electrical & Electronics","B.Tech","Sem05","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG Diploma in Waste Management and Environmental Hygiene/1st Semester/21WME503_I Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PG Diploma/Core/2023/EndSem/21WME503_Water_and_Soil_Resource_Management_EndSem_2023.pdf","21WME503","Water and Soil Resource Management","Mechanical & Aerospace","PG Diploma","Sem01","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15MAT203 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2019/Ass1/15MAT203_Transforms_and_Complex_Analysis_Ass1_2019.pdf","15MAT203","Transforms and Complex Analysis","Mathematics & Statistics","B.Tech","Sem03","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MCA/4th Semester/Fourth semester 2014 Supply/CA336 .pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/MCA/DeptElective/2014/EndSem/CA336_Open_Source_Software_EndSem_2014.pdf","CA336","Open Source Software","Computer Science & Engineering","MCA","Sem04","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2022/Fourth Semester - First Assessment May 2022/19MAT213_1Asses_ May 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2022/Ass1/19MAT213_Optimization_Techniques_Ass1_2022.pdf","19MAT213","Optimization Techniques","Mathematics & Statistics","B.Tech","Sem04","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/UG/B. A. English Language and Literature/1st Semester/18SAN101_I Sem Jan2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/B.Tech/Core/2023/EndSem/18SAN101_Sanskrit_Language_EndSem_2023.pdf","18SAN101","Sanskrit Language","General & Interdisciplinary","B.Tech","Sem01","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2015/MA828.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/Core/2015/EndSem/MA828_Advanced_Numerical_Analysis_EndSem_2015.pdf","MA828","Advanced Numerical Analysis","Mathematics & Statistics","PhD","SemGeneral","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/CUL101Cultural Education.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/B.Tech/Core/2013/EndSem/CUL101_Cultural_Education_–_I_EndSem_2013.pdf","CUL101","Cultural Education – I","General & Interdisciplinary","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2025/SS829_End sem Nov 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2025/EndSem/SS829_Electroanalytical_Techniques_EndSem_2025.pdf","SS829","Electroanalytical Techniques","Biotechnology & Health","PhD","SemGeneral","2025","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/2nd Semester/2023/Second Semester - Second Assessment 2023/22MAT111 _II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/Integrated M.Sc./Core/2023/Ass2/22MAT111_Real_Analysis_Ass2_2023.pdf","22MAT111","Real Analysis","Mathematics & Statistics","Integrated M.Sc.","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS804_I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass1/SS804_Spectroscopy_Ass1_2019.pdf","SS804","Spectroscopy","Biotechnology & Health","PhD","SemGeneral","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/AE807_Nov 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2018/EndSem/AE807_Aircraft_Propulsion_EndSem_2018.pdf","AE807","Aircraft Propulsion","General & Interdisciplinary","PhD","SemGeneral","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG Diploma in Waste Management and Environmental Hygiene/1st Semester/22WME504_I Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PG Diploma/Core/2023/Ass2/22WME504_Legal_Aspects_and_Mandatory_Regulations_Ass2_2023.pdf","22WME504","Legal Aspects and Mandatory Regulations","Mechanical & Aerospace","PG Diploma","Sem01","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2023/MA836   _I Ass April 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/DeptElective/2023/Ass1/MA836_Stochastic_Differential_Equations_Ass1_2023.pdf","MA836","Stochastic Differential Equations","Mathematics & Statistics","PhD","SemGeneral","2023","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/3rd Semester/Third Semester 2015 Regular/CN744.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/M.Tech/Core/2015/EndSem/CN744_–_Security_in_Distributed_systems_EndSem_2015.pdf","CN744","– Security in Distributed systems","General & Interdisciplinary","M.Tech","Sem03","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15MAT204 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2019/Ass1/15MAT204_Transforms_and_Partial_Differential_Equations_Ass1_2019.pdf","15MAT204","Transforms and Partial Differential Equations","Mathematics & Statistics","B.Tech","Sem03","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2024/OL832 _Mid-Term 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2024/MidTerm/OL832_Experimental_Modal_Analysis_MidTerm_2024.pdf","OL832","Experimental Modal Analysis","General & Interdisciplinary","PhD","Sem02","2024","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/1st Semester/First Semester - Second Assessment 2017/16MA602_Ass II_Sep-Oct 2017.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/M.Tech/Core/2017/Ass2/16MA602_Mathematical_Methods_for_Communication_Ass2_2017.pdf","16MA602","Mathematical Methods for Communication","Mathematics & Statistics","M.Tech","Sem01","2017","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/UG/B. A. English Language and Literature/1st Semester/18ELL103_III Ass Nov 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/B.Tech/Core/2019/Ass3/18ELL103_English_Prose_The_Elizabethan_to_the_Augustan_Ass3_2019.pdf","18ELL103","English Prose: The Elizabethan to the Augustan","Humanities & Social Sciences","B.Tech","Sem01","2019","Ass3","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2022/Fifth Semester - First Assessment Oct 2022/19AEE302_I Ass Oct 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2022/Ass1/19AEE302_Aerospace_Propulsion_Ass1_2022.pdf","19AEE302","Aerospace Propulsion","Electrical & Electronics","B.Tech","Sem05","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MCA/4th Semester/Fourth semester 2014 Supply/HU282.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/MCA/Core/2014/EndSem/HU282_Financial_Accounting_EndSem_2014.pdf","HU282","Financial Accounting","General & Interdisciplinary","MCA","Sem02","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/EC100 Engg Mechanics.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2013/EndSem/MEC100_Engineering_Mechanics_EndSem_2013.pdf","MEC100","Engineering Mechanics","Electronics & Communication","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2022/Fourth Semester - First Assessment May 2022/19MAT215 _1Asses_ May 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2022/Ass1/19MAT215_Complex_Analysis_and_Probability_Theory_Ass1_2022.pdf","19MAT215","Complex Analysis and Probability Theory","Mathematics & Statistics","B.Tech","Sem04","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2015/MA832.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/Core/2015/EndSem/MA832_THEORY_OF_HYPERGRAPHS_EndSem_2015.pdf","MA832","THEORY OF HYPERGRAPHS","Mathematics & Statistics","PhD","SemGeneral","2015","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2025/SS848_End sem Nov 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2025/EndSem/SS848_Nanomaterials_synthesis_and_characterization_techniques_EndSem_2025.pdf","SS848","Nanomaterials synthesis and characterization techniques","Biotechnology & Health","PhD","SemGeneral","2025","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/EN608 _I Ass Jan-Feb 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2018/Ass1/EN608_Women_Writing_Ass1_2018.pdf","EN608","Women Writing","General & Interdisciplinary","PhD","SemGeneral","2018","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS827 _II Ass Oct 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass2/SS827_Wastewater_Treatment_Technologies_and_Bioremediation_Ass2_2019.pdf","SS827","Wastewater Treatment Technologies and Bioremediation","Biotechnology & Health","PhD","SemGeneral","2019","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/2nd Semester/2023/Second Semester - Second Assessment 2023/22MAT112_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/Integrated M.Sc./Core/2023/Ass2/22MAT112_Algebra-I(Group_Theory_Ass2_2023.pdf","22MAT112","Algebra-I(Group Theory","Mathematics & Statistics","Integrated M.Sc.","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2024/OL833_Mid-Term 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/PhD/Core/2024/MidTerm/OL833_&_OL832_Material_Characterization_MidTerm_2024.pdf","OL833","& OL832 Material Characterization","General & Interdisciplinary","PhD","Sem02","2024","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15MEC201 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2019/Ass1/15MEC201_Engineering_Thermodynamics_Ass1_2019.pdf","15MEC201","Engineering Thermodynamics","Electronics & Communication","B.Tech","Sem03","2019","Ass1","high"
